date,event,name,time_et
2017-04-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-04-14,CPI,CPI release,08:30
2017-05-03,FOMC,FOMC rate decision,14:00
2017-05-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-05-12,CPI,CPI release,08:30
2017-06-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-06-14,CPI,CPI release,08:30
2017-06-14,FOMC,FOMC rate decision,14:00
2017-07-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-07-14,CPI,CPI release,08:30
2017-07-26,FOMC,FOMC rate decision,14:00
2017-08-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-08-11,CPI,CPI release,08:30
2017-09-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-09-14,CPI,CPI release,08:30
2017-09-20,FOMC,FOMC rate decision,14:00
2017-10-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-10-13,CPI,CPI release,08:30
2017-11-01,FOMC,FOMC rate decision,14:00
2017-11-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-11-15,CPI,CPI release,08:30
2017-12-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2017-12-13,CPI,CPI release,08:30
2017-12-13,FOMC,FOMC rate decision,14:00
2018-01-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-01-12,CPI,CPI release,08:30
2018-01-31,FOMC,FOMC rate decision,14:00
2018-02-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-02-14,CPI,CPI release,08:30
2018-03-09,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-03-13,CPI,CPI release,08:30
2018-03-21,FOMC,FOMC rate decision,14:00
2018-04-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-04-11,CPI,CPI release,08:30
2018-05-02,FOMC,FOMC rate decision,14:00
2018-05-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-05-10,CPI,CPI release,08:30
2018-06-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-06-12,CPI,CPI release,08:30
2018-06-13,FOMC,FOMC rate decision,14:00
2018-07-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-07-12,CPI,CPI release,08:30
2018-08-01,FOMC,FOMC rate decision,14:00
2018-08-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-08-10,CPI,CPI release,08:30
2018-09-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-09-13,CPI,CPI release,08:30
2018-09-26,FOMC,FOMC rate decision,14:00
2018-10-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-10-11,CPI,CPI release,08:30
2018-11-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-11-08,FOMC,FOMC rate decision,14:00
2018-11-14,CPI,CPI release,08:30
2018-12-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2018-12-12,CPI,CPI release,08:30
2018-12-19,FOMC,FOMC rate decision,14:00
2019-01-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-01-11,CPI,CPI release,08:30
2019-01-30,FOMC,FOMC rate decision,14:00
2019-02-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-02-13,CPI,CPI release,08:30
2019-03-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-03-12,CPI,CPI release,08:30
2019-03-20,FOMC,FOMC rate decision,14:00
2019-04-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-04-10,CPI,CPI release,08:30
2019-05-01,FOMC,FOMC rate decision,14:00
2019-05-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-05-10,CPI,CPI release,08:30
2019-06-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-06-12,CPI,CPI release,08:30
2019-06-19,FOMC,FOMC rate decision,14:00
2019-07-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-07-11,CPI,CPI release,08:30
2019-07-31,FOMC,FOMC rate decision,14:00
2019-08-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-08-13,CPI,CPI release,08:30
2019-09-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-09-12,CPI,CPI release,08:30
2019-09-18,FOMC,FOMC rate decision,14:00
2019-10-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-10-10,CPI,CPI release,08:30
2019-10-30,FOMC,FOMC rate decision,14:00
2019-11-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-11-13,CPI,CPI release,08:30
2019-12-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2019-12-11,CPI,CPI release,08:30
2019-12-11,FOMC,FOMC rate decision,14:00
2020-01-10,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-01-14,CPI,CPI release,08:30
2020-01-29,FOMC,FOMC rate decision,14:00
2020-02-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-02-13,CPI,CPI release,08:30
2020-03-03,FOMC,FOMC emergency rate cut (unscheduled),10:00
2020-03-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-03-11,CPI,CPI release,08:30
2020-03-15,FOMC,"FOMC emergency rate cut (unscheduled, Sunday)",17:00
2020-04-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-04-10,CPI,CPI release,08:30
2020-04-29,FOMC,FOMC rate decision,14:00
2020-05-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-05-12,CPI,CPI release,08:30
2020-06-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-06-10,CPI,CPI release,08:30
2020-06-10,FOMC,FOMC rate decision,14:00
2020-07-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-07-14,CPI,CPI release,08:30
2020-07-29,FOMC,FOMC rate decision,14:00
2020-08-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-08-12,CPI,CPI release,08:30
2020-09-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-09-11,CPI,CPI release,08:30
2020-09-16,FOMC,FOMC rate decision,14:00
2020-10-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-10-13,CPI,CPI release,08:30
2020-11-05,FOMC,FOMC rate decision,14:00
2020-11-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-11-12,CPI,CPI release,08:30
2020-12-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2020-12-10,CPI,CPI release,08:30
2020-12-16,FOMC,FOMC rate decision,14:00
2021-01-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-01-13,CPI,CPI release,08:30
2021-01-27,FOMC,FOMC rate decision,14:00
2021-02-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-02-10,CPI,CPI release,08:30
2021-03-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-03-10,CPI,CPI release,08:30
2021-03-17,FOMC,FOMC rate decision,14:00
2021-04-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-04-13,CPI,CPI release,08:30
2021-04-28,FOMC,FOMC rate decision,14:00
2021-05-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-05-12,CPI,CPI release,08:30
2021-06-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-06-10,CPI,CPI release,08:30
2021-06-16,FOMC,FOMC rate decision,14:00
2021-07-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-07-13,CPI,CPI release,08:30
2021-07-28,FOMC,FOMC rate decision,14:00
2021-08-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-08-11,CPI,CPI release,08:30
2021-09-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-09-14,CPI,CPI release,08:30
2021-09-22,FOMC,FOMC rate decision,14:00
2021-10-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-10-13,CPI,CPI release,08:30
2021-11-03,FOMC,FOMC rate decision,14:00
2021-11-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-11-10,CPI,CPI release,08:30
2021-12-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2021-12-10,CPI,CPI release,08:30
2021-12-15,FOMC,FOMC rate decision,14:00
2022-01-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-01-12,CPI,CPI release,08:30
2022-01-26,FOMC,FOMC rate decision,14:00
2022-02-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-02-10,CPI,CPI release,08:30
2022-03-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-03-10,CPI,CPI release,08:30
2022-03-16,FOMC,FOMC rate decision,14:00
2022-04-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-04-12,CPI,CPI release,08:30
2022-05-04,FOMC,FOMC rate decision,14:00
2022-05-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-05-11,CPI,CPI release,08:30
2022-06-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-06-10,CPI,CPI release,08:30
2022-06-15,FOMC,FOMC rate decision,14:00
2022-07-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-07-13,CPI,CPI release,08:30
2022-07-27,FOMC,FOMC rate decision,14:00
2022-08-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-08-10,CPI,CPI release,08:30
2022-09-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-09-13,CPI,CPI release,08:30
2022-09-21,FOMC,FOMC rate decision,14:00
2022-10-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-10-13,CPI,CPI release,08:30
2022-11-02,FOMC,FOMC rate decision,14:00
2022-11-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-11-10,CPI,CPI release,08:30
2022-12-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2022-12-13,CPI,CPI release,08:30
2022-12-14,FOMC,FOMC rate decision,14:00
2023-01-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-01-12,CPI,CPI release,08:30
2023-02-01,FOMC,FOMC rate decision,14:00
2023-02-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-02-14,CPI,CPI release,08:30
2023-03-10,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-03-14,CPI,CPI release,08:30
2023-03-22,FOMC,FOMC rate decision,14:00
2023-04-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-04-12,CPI,CPI release,08:30
2023-05-03,FOMC,FOMC rate decision,14:00
2023-05-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-05-10,CPI,CPI release,08:30
2023-06-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-06-13,CPI,CPI release,08:30
2023-06-14,FOMC,FOMC rate decision,14:00
2023-07-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-07-12,CPI,CPI release,08:30
2023-07-26,FOMC,FOMC rate decision,14:00
2023-08-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-08-10,CPI,CPI release,08:30
2023-09-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-09-13,CPI,CPI release,08:30
2023-09-20,FOMC,FOMC rate decision,14:00
2023-10-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-10-12,CPI,CPI release,08:30
2023-11-01,FOMC,FOMC rate decision,14:00
2023-11-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-11-14,CPI,CPI release,08:30
2023-12-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2023-12-12,CPI,CPI release,08:30
2023-12-13,FOMC,FOMC rate decision,14:00
2024-01-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-01-11,CPI,CPI release,08:30
2024-01-31,FOMC,FOMC rate decision,14:00
2024-02-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-02-13,CPI,CPI release,08:30
2024-03-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-03-12,CPI,CPI release,08:30
2024-03-20,FOMC,FOMC rate decision,14:00
2024-04-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-04-10,CPI,CPI release,08:30
2024-05-01,FOMC,FOMC rate decision,14:00
2024-05-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-05-15,CPI,CPI release,08:30
2024-06-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-06-12,CPI,CPI release,08:30
2024-06-12,FOMC,FOMC rate decision,14:00
2024-07-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-07-11,CPI,CPI release,08:30
2024-07-31,FOMC,FOMC rate decision,14:00
2024-08-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-08-14,CPI,CPI release,08:30
2024-09-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-09-11,CPI,CPI release,08:30
2024-09-18,FOMC,FOMC rate decision,14:00
2024-10-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-10-10,CPI,CPI release,08:30
2024-11-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-11-07,FOMC,FOMC rate decision,14:00
2024-11-13,CPI,CPI release,08:30
2024-12-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2024-12-11,CPI,CPI release,08:30
2024-12-18,FOMC,FOMC rate decision,14:00
2025-01-10,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-01-15,CPI,CPI release,08:30
2025-01-29,FOMC,FOMC rate decision,14:00
2025-02-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-02-12,CPI,CPI release,08:30
2025-03-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-03-12,CPI,CPI release,08:30
2025-03-19,FOMC,FOMC rate decision,14:00
2025-04-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-04-10,CPI,CPI release,08:30
2025-05-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-05-07,FOMC,FOMC rate decision,14:00
2025-05-13,CPI,CPI release,08:30
2025-06-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-06-11,CPI,CPI release,08:30
2025-06-18,FOMC,FOMC rate decision,14:00
2025-07-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-07-15,CPI,CPI release,08:30
2025-07-30,FOMC,FOMC rate decision,14:00
2025-08-01,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-08-12,CPI,CPI release,08:30
2025-09-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2025-09-11,CPI,CPI release,08:30
2025-09-17,FOMC,FOMC rate decision,14:00
2025-10-24,CPI,CPI for Sep 2025 (delayed — govt shutdown),08:30
2025-10-29,FOMC,FOMC rate decision,14:00
2025-11-20,NFP,Employment Situation for Sep 2025 (delayed — shutdown),08:30
2025-12-10,FOMC,FOMC rate decision,14:00
2025-12-16,NFP,Employment Situation for Nov 2025 (delayed — shutdown),08:30
2025-12-18,CPI,CPI release,08:30
2026-01-09,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-01-13,CPI,CPI release,08:30
2026-01-28,FOMC,FOMC rate decision,14:00
2026-02-11,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-02-13,CPI,CPI release,08:30
2026-03-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-03-11,CPI,CPI release,08:30
2026-03-18,FOMC,FOMC rate decision,14:00
2026-04-03,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-04-10,CPI,CPI release,08:30
2026-04-29,FOMC,FOMC rate decision,14:00
2026-05-08,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-05-12,CPI,CPI release,08:30
2026-06-05,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-06-10,CPI,CPI release,08:30
2026-06-17,FOMC,FOMC rate decision,14:00
2026-07-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-07-14,CPI,CPI release,08:30
2026-07-29,FOMC,FOMC rate decision,14:00
2026-08-07,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-08-12,CPI,CPI release,08:30
2026-09-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-09-11,CPI,CPI release,08:30
2026-09-16,FOMC,FOMC rate decision,14:00
2026-10-02,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-10-14,CPI,CPI release,08:30
2026-10-28,FOMC,FOMC rate decision,14:00
2026-11-06,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-11-10,CPI,CPI release,08:30
2026-12-04,NFP,Nonfarm Payrolls (Employment Situation),08:30
2026-12-09,FOMC,FOMC rate decision,14:00
2026-12-10,CPI,CPI release,08:30
